OBJECTID,STATION_ID,ASSET_ID,NAME,LONGNAME,LINES,BRANCH_ID,STATUS,MILEPOST,FAREZONE,ADA,ADA2,PKNRD,BIKEPKNG,TICKET_AVA,ADDRESS,MUNICIPALI,TELEPHONE,WEBLINK,LABELANGLE,EDIT_INIT,EDIT_DATE,YEAR_OPEN,X,Y,xcoord,ycoord
189,15242.00000,51215242.00000,Deerfield,Deerfield,Milw-N,15,1,24.20000,E,0,A,1,129,,"860 Deerfield Rd., 2 blks. W. of Rt. 43",Deerfield,,,180,ks,1995/08/02,,,,-87.84990,42.16813
190,15280.00000,51215280.00000,Lake Forest,Lake Forest,Milw-N,15,1,28.40000,F,0,A,1,0,,10205 N. Waukegan,Lake Forest,,,180,ks,1995/09/14,,,,-87.87462,42.22353
191,15355.00000,51215355.00000,Libertyville,Libertyville,Milw-N,15,1,35.50000,H,0,A,1,19,,200 W. Lake St. at Milwaukee Ave.,Libertyville,,,0,ks,1995/08/02,,,,-87.95645,42.29108
192,15410.00000,51215410.00000,Grayslake,Grayslake,Milw-N,15,1,41.00000,I,0,M,1,14,,Lake St. and St. Paul St.,Grayslake,,,180,ks,1995/08/02,,,,-88.04332,42.33354
193,15440.00000,51215440.00000,Round Lake,Round Lake,Milw-N,15,1,44.00000,I,0,M,1,10,,Route 134 and Cedar Lake Rd.,Round Lake,,,180,ks,1995/08/02,,,,-88.09393,42.35456
194,15460.00000,51215460.00000,Long Lake,Long Lake,Milw-N,15,1,46.00000,J,2,M,1,0,,Decorah Ave. and Route 134,,,,180,ks,1995/08/02,,,,-88.12805,42.36790
195,15478.00000,51215478.00000,Ingleside,Ingleside,Milw-N,15,1,47.80000,J,0,M,1,0,,Washington St. and Rollins Rd.,Fox Lake,,,180,ks,1995/08/02,,,,-88.15498,42.38414
196,15495.00000,51215495.00000,Fox Lake,Fox Lake,Milw-N,15,1,49.50000,J,0,A,1,20,,Nippersink Blvd. At Grand Ave.,Fox Lake,,,180,ks,1995/08/02,,,,-88.18207,42.39830
197,16171.00000,51216171.00000,O'Hare,O'Hare Transfer,NCS,16,1,17.10000,D,0,A,0,0,,,Rosemont,,,180,ks,1999/02/16,,,,-87.88032,41.99521
198,16240.00000,51216240.00000,Prospect Heights,Prospect Heights,NCS,16,1,24.00000,E,0,A,1,0,,55 South Wolf Road,Prospect Heights,,,180,ks,1999/02/16,,,,-87.90806,42.09291
199,16272.00000,51216272.00000,Wheeling,Wheeling,NCS,16,1,27.20000,F,0,A,1,0,,400 Town Street,Wheeling,,,180,ks,1999/02/16,,,,-87.92716,42.13645
200,16295.00000,51216295.00000,Buffalo Grove,Buffalo Grove,NCS,16,1,29.50000,F,0,A,1,0,,825 Commerce Ct.,Buffalo Grove,,,180,ks,1999/02/16,,,,-87.94113,42.16848
201,16316.00000,51216316.00000,Prairie View,Prairie View,NCS,16,1,31.60000,G,0,A,1,0,,16480 W. Hwy 22,Prairie View,,,180,ks,1999/02/16,,,,-87.95558,42.19798
202,16330.00000,51216330.00000,Vernon Hills,Vernon Hills,NCS,16,1,33.00000,G,0,A,1,0,,75 East Route 45,Vernon Hills,,,180,ks,1999/02/16,,,,-87.96482,42.21557
203,16369.00000,51216369.00000,Mundelein,Mundelein,NCS,16,1,36.90000,H,0,A,1,0,,205 North Archer Ave.,Mundelein,,,180,ks,1999/02/16,,,,-87.99770,42.26671
204,16407.00000,51216407.00000,Prairie Crossing,Prairie Crossing (Libertyville),NCS,16,1,40.70000,H,0,A,1,0,,2401 West Harris Road,,,,180,ks,1999/02/16,,,,-88.01773,42.31855
205,16459.00000,51216459.00000,Round Lake Beach,Round Lake Beach,NCS,16,1,45.90000,J,0,A,1,0,,680 East Mallard Creek Dr.,Round Lake Beach,,,0,ks,1999/02/16,,,,-88.06517,42.38475
206,16482.00000,51216482.00000,Lake Villa,Lake Villa,NCS,16,1,48.20000,J,0,A,1,0,,129 Railroad Ave.,Lake Villa,,,0,ks,1999/02/16,,,,-88.07929,42.41759
207,16528.00000,51216528.00000,Antioch,Antioch,NCS,16,1,52.80000,K,0,A,1,0,,305 Depot Street,Antioch,,,0,ks,1999/02/16,,,,-88.09217,42.48072
208,17065.00000,51217065.00000,Ravenswood,Ravenswood,UP-N,17,1,6.50000,B,1,N,1,0,,4800 N. Ravenswood Ave.,Chicago,,,0,ks,1995/08/02,,,,-87.67444,41.96815
209,17094.00000,51217094.00000,Rogers Park,Rogers Park,UP-N,17,1,9.40000,B,0,A,1,0,,7000 N. Ravenswood Ave.,Chicago,,,180,ks,1995/08/02,,,,-87.67553,42.00965
210,17110.00000,51217110.00000,Main St.,Main Street (Evanston),UP-N,17,1,11.00000,C,0,N,1,0,,600 Main St.,Evanston,,,180,ks,1995/08/02,,,,-87.68005,42.03332
211,17120.00000,51217120.00000,Davis St.,Davis Street (Evanston),UP-N,17,1,12.00000,C,0,N,0,0,,901 Davis St.,Evanston,,,180,ks,1995/08/02,,,,-87.68482,42.04806
212,17133.00000,51217133.00000,Central St.,Central Street (Evanston),UP-N,17,1,13.30000,C,0,A,1,21,,1601 Central Ave.,Evanston,,,180,ks,1995/08/02,,,,-87.69810,42.06399
213,17144.00000,51217144.00000,Wilmette,Wilmette,UP-N,17,1,14.40000,C,0,A,1,80,,722 Green Bay Rd.,Wilmette,,,0,ks,1995/08/02,,,,-87.70928,42.07734
214,17152.00000,51217152.00000,Kenilworth,Kenilworth,UP-N,17,1,15.20000,D,0,A,1,55,,400 Richmond Rd.,Kenilworth,,,0,ks,1995/08/02,,,,-87.71674,42.08622
215,17158.00000,51217158.00000,Indian Hill,Indian Hill,UP-N,17,1,15.80000,D,1,N,1,87,,111 N. Green Bay Rd.,Winnetka,,,0,ks,1995/08/02,,,,-87.72373,42.09462
216,17166.00000,51217166.00000,Winnetka,Winnetka,UP-N,17,1,16.60000,D,0,A,1,87,,754 Elm St.,Winnetka,,,0,ks,1995/08/02,,,,-87.73259,42.10529
217,17177.00000,51217177.00000,Hubbard Woods,Hubbard Woods,UP-N,17,1,17.70000,D,1,N,1,79,,1065 Gage St.,Winnetka,,,0,ks,1995/08/02,,,,-87.74344,42.11818
218,17192.00000,51217192.00000,Glencoe,Glencoe,UP-N,17,1,19.20000,D,0,A,1,66,,724 Green Bay Rd.,Glencoe,,,0,ks,1995/08/02,,,,-87.75815,42.13553
219,17205.00000,51217205.00000,Braeside,Braeside,UP-N,17,1,20.50000,E,2,M,1,0,,10 N. St. John's Ave.,,,,0,ks,1995/08/02,,,,-87.77283,42.15299
220,17212.00000,51217212.00000,Ravinia Park,Ravinia Park,UP-N,17,2,21.20000,E,0,,0,19,,,Highland Park,,,0,ks,1995/09/14,,,,-87.77669,42.15761
221,17215.00000,51217215.00000,Ravinia,Ravinia,UP-N,17,1,21.50000,E,0,A,1,43,,510 Roger Williams Ave.,Highland Park,,,0,ks,1995/08/02,,,,-87.78323,42.16538
222,17230.00000,51217230.00000,Highland Park,Highland Park,UP-N,17,1,23.00000,E,0,A,1,578,,1800 St. John's Ave.,Highland Park,,,0,ks,1995/08/02,,,,-87.79771,42.18351
223,17245.00000,51217245.00000,Highwood,Highwood,UP-N,17,1,24.50000,E,0,A,1,0,,317 Green Bay Rd.,Highwood,,,0,ks,1995/08/02,,,,-87.81000,42.20242
224,17257.00000,51217257.00000,Fort Sheridan,Fort Sheridan,UP-N,17,1,25.70000,F,0,A,1,314,,461 W. Old Elm Rd.,,,,0,ks,1995/08/02,,,,-87.82115,42.21742
225,17283.00000,51217283.00000,Lake Forest,Lake Forest,UP-N,17,1,28.30000,F,0,A,1,62,,691 N. Western Ave.,Lake Forest,,,0,ks,1995/08/02,,,,-87.83971,42.25236
226,17302.00000,51217302.00000,Lake Bluff,Lake Bluff,UP-N,17,1,30.20000,G,0,A,1,0,,600 N. Sheridan Rd.,Lake Bluff,,,0,ks,1995/08/02,,,,-87.84676,42.27959
227,17322.00000,51217322.00000,Great Lakes,Great Lakes,UP-N,17,1,32.20000,G,0,N,0,0,,2840 S. Sheridan Rd.,North Chicago,,,0,ks,1995/09/14,,,,-87.84663,42.30834
228,17332.00000,51217332.00000,North Chicago,North Chicago,UP-N,17,1,33.70000,G,0,A,1,0,,1633 Lakeside,North Chicago,,,0,ks,1995/08/02,,,,-87.83704,42.32892
229,17359.00000,51217359.00000,Waukegan,Waukegan,UP-N,17,1,35.90000,H,0,A,1,0,,95 N. Spring St.,Waukegan,,,0,ks,1995/08/02,,,,-87.82795,42.36064
230,17421.00000,51217421.00000,Zion,Zion,UP-N,17,1,42.10000,I,0,A,1,0,,2501 S. Eden Rd.,Zion,,,0,ks,1995/08/02,,,,-87.81813,42.44951
231,17445.00000,51217445.00000,Winthrop Harbor,Winthrop Harbor,UP-N,17,1,44.50000,I,0,A,1,0,,701 N. Main St.,Winthrop Harbor,,,0,ks,1995/08/02,,,,-87.81626,42.48262
232,17516.00000,51217516.00000,Kenosha,Kenosha,UP-N,17,1,51.50000,K,0,N,1,0,,5414 13th Ave.,Winthrop Harbor,,,0,aef,2001/01/08,,,,-87.82091,42.58732
233,0.00000,0.00000,Hammond,Hammond,S. Shore,3,1,0.00000,,0,,0,0,,4531 Hohman Ave,Hammond,,,0,af,2005/09/22,,,,-87.52237,41.63206
234,0.00000,0.00000,East Chicago,East Chicago,S. Shore,3,1,0.00000,,0,,0,0,,5615 Indianapolis Blvd,East Chicago,,,0,af,2005/09/22,,,,-87.48145,41.61288
235,0.00000,0.00000,Gary Metro,Gary Metro,S. Shore,3,1,0.00000,,0,,0,0,,200 West 4th Ave,Gary,,,0,af,2005/09/22,,,,-87.33881,41.60524
236,0.00000,0.00000,Miller,Miller,S. Shore,3,1,0.00000,,0,,0,0,,Lake Street and U.S. Highway 12,Gary,,,0,af,2005/09/22,,,,-87.26350,41.59798
237,0.00000,0.00000,Ogden Dunes,Ogden Dunes,S. Shore,3,1,0.00000,,0,,0,0,,Hillcrest Road and U.S. Highway 12,Portage,,,0,af,2005/09/22,,,,-87.19149,41.61649
238,0.00000,0.00000,Dune Park,Dune Park,S. Shore,3,1,0.00000,,0,,0,0,,33 East U.S. Highway 12,Chesterton,,,0,af,2005/09/22,,,,-87.05783,41.64590
239,0.00000,0.00000,Gary Airport,Gary/Chicago Airport,S. Shore,3,1,0.00000,,0,,0,0,,Clark Rd and U.S. Highway 12,Gary,,,0,af,2005/09/22,,,,-87.39480,41.60522
240,0.00000,0.00000,Washington St,Washington St,NCS,16,1,0.00000,I,0,,0,0,,330 W Washington St,Grayslake,,,0,af,2011/04/28,,,,-88.05046,42.35963
241,0.00000,0.00000,Prairie Crossing,Prairie Crossing/Libertyville,Milw-N,15,1,0.00000,H,0,,0,0,,3001 Harris Rd,Libertyville,,,0,af,2011/04/28,,,,-88.01512,42.32090
242,0.00000,0.00000,Rosemont,Rosemont,NCS,16,1,0.00000,D,0,,0,0,,10005 Balmoral Ave,Rosemont,,,0,af,2011/04/28,,,,-87.87345,41.97572
243,0.00000,0.00000,Schiller Park,Schiller Park,NCS,16,1,0.00000,C,0,,0,0,,4555 Ruby St,Schiller Park,,,0,af,2011/04/28,,,,-87.86900,41.96306
244,0.00000,0.00000,Belmont Ave,Belmont Ave,NCS,16,1,0.00000,C,0,,0,0,,9280 Belmont Ave,Franklin Park,,,0,af,2011/04/28,,,,-87.86029,41.93856
245,0.00000,0.00000,Grand-Cicero,Grand-Cicero,Milw-W,12,1,0.00000,B,0,,0,0,,1833 N Cicero Ave,Chicago,,,0,af,2011/04/28,,,,-87.74653,41.91444
246,0.00000,0.00000,Laraway Road,New Lenox Laraway Road,SWS,8,1,0.00000,H,0,,0,0,,1861 Village Station Blvd,New Lenox,,,0,af,2011/04/28,,,,-87.95990,41.48316
247,0.00000,0.00000,Joliet,Joliet,"Rock Is., Heritage",6,1,0.00000,H,2,,0,0,,50 E Jefferson St,Joliet,,,0,af,2011/04/28,,,,-88.07930,41.52418
