OBJECTID,STATION_ID,ASSET_ID,NAME,LONGNAME,LINES,BRANCH_ID,STATUS,MILEPOST,FAREZONE,ADA,ADA2,PKNRD,BIKEPKNG,TICKET_AVA,ADDRESS,MUNICIPALI,TELEPHONE,WEBLINK,LABELANGLE,EDIT_INIT,EDIT_DATE,YEAR_OPEN,X,Y,xcoord,ycoord
94,10101.00000,51210101.00000,Harlem Ave.,Harlem Avenue,BNSF,10,1,10.10000,B,0,N,1,0,,7135 Windsor Ave.,Berwyn,,,150,aef,2001/02/13,,,,-87.80190,41.83134
95,10111.00000,51210111.00000,Riverside,Riverside,BNSF,10,1,11.10000,C,2,M,1,20,,90 Bloomingbank Road,Riverside,,,150,aef,2001/02/13,,,,-87.82023,41.82721
96,10118.00000,51210118.00000,Zoo Stop,Hollywood (Zoo Stop),BNSF,10,1,11.80000,C,0,M,1,0,,Golf Road and Hollywood Ave.,Brookfield,,,150,aef,2001/02/13,,,,-87.83373,41.82424
97,10123.00000,51210123.00000,Brookfield,Brookfield,BNSF,10,1,12.30000,C,2,M,1,20,,8858 Burlington Ave.,Brookfield,,,150,aef,2001/02/13,,,,-87.84311,41.82215
98,10131.00000,51210131.00000,Congress Park,Congress Park,BNSF,10,1,13.10000,C,1,N,1,0,,1/2 mi. W. of Maple St. (on Burlington Ave.),Brookfield,,,150,aef,2001/02/13,,,,-87.85758,41.81891
99,10138.00000,51210138.00000,LaGrange Rd.,LaGrange Road,BNSF,10,1,13.80000,C,0,A,1,112,,25 W. Burlington Ave.,La Grange,,,150,aef,2001/02/13,,,,-87.87111,41.81588
100,10142.00000,51210142.00000,Stone Ave.,Stone Avenue (LaGrange),BNSF,10,1,14.20000,C,1,N,1,76,,701 Burlington Ave.,La Grange,,,150,aef,2001/02/13,,,,-87.87857,41.81421
101,10155.00000,51210155.00000,Western Springs,Western Springs,BNSF,10,1,15.50000,D,0,A,1,26,,914 Burlington Ave.,Western Springs,,,150,aef,2001/02/13,,,,-87.90141,41.80908
102,10164.00000,51210164.00000,Highlands,Highlands,BNSF,10,1,16.40000,D,1,N,1,0,,1/4 mi. N. of County Line Rd. and 47th St.,Hinsdale,,,150,aef,2001/02/13,,,,-87.91857,41.80520
103,10169.00000,51210169.00000,Hinsdale,Hinsdale,BNSF,10,1,16.90000,D,0,A,1,78,,1 E. Hinsdale Ave.,Hinsdale,,,150,aef,2001/02/13,,,,-87.92824,41.80299
